Gene	OF3_OO_sc.1	OF3_OO_sc.2	OF3_OO_sc.3	OF3_OO_sc.4	OF3_OO_sc.5	OF3_OO_sc.6	OF3_OO_sc.7	OF3_OO_sc.8	OF3_OO_sc.9	OF3_OO_sc.10	OF3_OO_sc.11	OF3_OO_sc.12	OF3_OO_sc.13	OF3_OO_sc.14	OF3_OO_sc.15	OF3_OO_sc.16	OF3_OO_sc.17	OF3_OO_sc.18	OF3_OO_sc.19	OF3_OO_sc.20	OF3_OO_sc.21	OF3_OO_sc.22	OF3_OO_sc.23	OF3_OO_sc.24	OF3_OO_sc.25	OF3_OO_sc.26	OF3_OO_sc.27	OF3_OO_sc.28	OF3_OO_sc.29	OF3_OO_sc.30	OF3_OO_sc.31	OF3_OO_sc.32	OF3_OO_sc.33	OF3_OO_sc.34	OF3_OO_sc.35	OF3_OO_sc.36	OF3_OO_sc.37	OF3_OO_sc.38	OF3_OO_sc.39	OF3_OO_sc.40	OF3_OO_sc.41	OF3_OO_sc.42	OF3_OO_sc.43	OF3_OO_sc.44
SUPT3H	10	3	12	4	10	16	8	20	0	14	10	93	1	12	28	155	4	52	42	161	50	17	4	9	3	2	93	4	106	138	41	67	1	1	5	17	15	20	19	32	2	3	9	3
SUPT4H1	1	0	0	0	0	0	0	0	0	0	1	5	0	0	1	4	0	3	1	10	2	0	0	0	1	0	2	1	3	5	2	1	0	0	1	0	3	0	0	0	2	0	0	0
SUPT5H	4	7	3	0	5	6	4	3	0	4	9	48	1	5	11	51	4	15	31	46	19	10	0	8	7	0	30	3	18	28	24	17	0	3	3	7	2	6	9	16	9	6	6	1
SUPT6H	1	2	2	1	3	6	2	1	1	2	2	12	0	2	2	31	4	6	9	52	8	5	0	3	0	0	11	4	10	22	16	9	0	0	1	5	3	4	11	3	7	3	2	0
SUPT7L	3	5	5	6	7	6	5	10	0	9	14	45	1	9	17	66	11	27	41	47	10	13	6	13	2	0	48	4	37	73	27	39	2	3	4	10	8	8	24	25	20	5	4	1
SUPV3L1	1	2	4	0	4	3	1	4	0	3	1	22	1	1	7	35	2	10	26	25	2	7	0	4	2	0	21	1	17	23	18	19	1	4	2	3	2	3	2	5	3	2	2	0
SURF1	1	1	2	0	5	0	1	0	0	2	1	14	2	5	5	44	3	8	6	42	8	6	2	7	1	1	12	3	10	18	10	2	0	2	4	2	3	5	4	6	1	5	6	0
SURF2	8	11	21	8	26	17	21	26	0	24	22	125	12	39	39	313	37	95	125	188	46	38	5	40	11	2	128	14	124	192	101	82	7	10	18	36	40	37	59	60	34	28	32	2
SURF4	5	1	2	2	9	3	2	1	0	3	0	61	1	11	10	124	5	41	61	132	21	17	2	5	2	3	36	9	47	61	21	24	0	2	2	4	6	2	6	8	1	4	4	0
SUSD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUSD3	0	0	0	0	0	0	0	2	0	1	0	24	0	0	2	18	0	22	5	20	4	1	0	0	4	0	15	0	8	27	7	2	0	0	0	0	1	0	0	0	0	0	0	0
SUSD4	0	0	0	0	0	0	0	2	0	0	2	9	0	0	1	9	0	4	4	11	0	5	0	1	0	0	3	0	4	6	3	1	0	0	0	0	0	0	2	1	2	0	2	0
SUSD5	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	4	0	0	1	4	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0
SUSD6	2	1	1	0	2	3	1	9	0	7	1	53	0	3	11	101	1	13	27	72	17	4	0	2	1	0	22	9	46	35	13	9	0	0	0	2	0	1	2	2	1	0	3	0
SUV39H1	0	0	0	0	0	2	1	0	0	1	0	2	0	0	1	3	0	1	2	4	0	2	1	2	0	0	2	0	1	0	0	0	0	1	0	3	5	0	0	3	0	1	1	0
SUV39H2	9	3	10	3	7	11	6	34	0	18	4	107	1	5	11	165	5	63	57	200	50	18	4	17	5	1	93	2	105	143	51	67	5	3	6	9	2	10	12	9	3	8	7	1
SV2A	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SV2B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
SV2C	0	0	1	0	0	1	0	1	0	2	0	0	0	5	3	9	0	6	3	5	1	0	1	0	0	0	2	0	3	1	1	3	0	0	0	0	1	0	1	0	0	0	2	0
SVBP	6	3	7	2	2	4	4	3	1	8	1	37	1	6	6	79	1	29	11	61	20	6	2	5	1	0	31	5	40	30	17	22	6	4	1	4	8	5	8	6	2	4	8	0
