Gene	YF1_OCS_sc.1	YF1_OCS_sc.2	YF1_OCS_sc.3	YF1_OCS_sc.4	YF1_OCS_sc.5	YF1_OCS_sc.6	YF1_OCS_sc.7	YF1_OCS_sc.8	YF1_OCS_sc.9	YF1_OCS_sc.10	YF1_OCS_sc.11	YF1_OCS_sc.12	YF1_OCS_sc.13	YF1_OCS_sc.14	YF1_OCS_sc.15	YF1_OCS_sc.16	YF1_OCS_sc.17	YF1_OCS_sc.18	YF1_OCS_sc.19	YF1_OCS_sc.20	YF1_OCS_sc.21	YF1_OCS_sc.22	YF1_OCS_sc.23	YF1_OCS_sc.24	YF1_OCS_sc.25	YF1_OCS_sc.26	YF1_OCS_sc.27	YF1_OCS_sc.28	YF1_OCS_sc.29	YF1_OCS_sc.30	YF1_OCS_sc.31	YF1_OCS_sc.32	YF1_OCS_sc.33	YF1_OCS_sc.34	YF1_OCS_sc.35	YF1_OCS_sc.36	YF1_OCS_sc.37	YF1_OCS_sc.38	YF1_OCS_sc.39	YF1_OCS_sc.40	YF1_OCS_sc.41	YF1_OCS_sc.42	YF1_OCS_sc.43	YF1_OCS_sc.44	YF1_OCS_sc.45	YF1_OCS_sc.46	YF1_OCS_sc.47	YF1_OCS_sc.48	YF1_OCS_sc.49	YF1_OCS_sc.50	YF1_OCS_sc.51	YF1_OCS_sc.52	YF1_OCS_sc.53	YF1_OCS_sc.54	YF1_OCS_sc.55
PARN	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	1	0
PARP1	0	0	0	1	9	0	0	1	0	1	0	17	0	0	0	0	49	0	0	0	45	1	14	1	0	0	0	2	0	0	50	0	0	0	0	0	0	0	0	0	0	138	0	1	0	6	0	0	0	0	0	0	1	0	0
PARP11	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PARP12	0	0	5	0	20	12	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	50	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PARP14	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0
PARP15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PARP16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PARP2	0	0	0	0	0	1	0	0	0	50	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	1	0	0	82	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0
PARP3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PARP6	2	0	12	1	1	0	0	1	0	0	0	0	4	0	9	0	1	2	1	1	2	24	0	3	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	46	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PARP8	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	7	0
PARP9	0	0	0	1	7	0	0	1	0	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0
PARPBP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PARVA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PARVB	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PARVG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PASD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PASK	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0
PATE1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PATE2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PATE3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PATE4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
